"STATEFP","STATE","STATEABBREVIATION","YEAR","INDICATOR","VALUE"
"01","Alabama","AL","2012","pctunins","0.161"
"02","Alaska","AK","2012","pctunins","0.2108"
"04","Arizona","AZ","2012","pctunins","0.1953"
"05","Arkansas","AR","2012","pctunins","0.196"
"06","California","CA","2012","pctunins","0.1985"
"08","Colorado","CO","2012","pctunins","0.171"
"09","Connecticut","CT","2012","pctunins","0.1009"
"10","Delaware","DE","2012","pctunins","0.1107"
"11","District of Columbia","DC","2012","pctunins","0.0752"
"12","Florida","FL","2012","pctunins","0.2453"
"13","Georgia","GA","2012","pctunins","0.209"
"15","Hawaii","HI","2012","pctunins","0.0801"
"16","Idaho","ID","2012","pctunins","0.1923"
"17","Illinois","IL","2012","pctunins","0.1456"
"18","Indiana","IN","2012","pctunins","0.161"
"19","Iowa","IA","2012","pctunins","0.1015"
"20","Kansas","KS","2012","pctunins","0.1442"
"21","Kentucky","KY","2012","pctunins","0.1622"
"22","Louisiana","LA","2012","pctunins","0.1953"
"23","Maine","ME","2012","pctunins","0.121"
"24","Maryland","MD","2012","pctunins","0.1205"
"25","Massachusetts","MA","2012","pctunins","0.0458"
"26","Michigan","MI","2012","pctunins","0.1329"
"27","Minnesota","MN","2012","pctunins","0.0985"
"28","Mississippi","MS","2012","pctunins","0.1997"
"29","Missouri","MO","2012","pctunins","0.1509"
"30","Montana","MT","2012","pctunins","0.2036"
"31","Nebraska","NE","2012","pctunins","0.1305"
"32","Nevada","NV","2012","pctunins","0.244"
"33","New Hampshire","NH","2012","pctunins","0.1199"
"34","New Jersey","NJ","2012","pctunins","0.1429"
"35","New Mexico","NM","2012","pctunins","0.2242"
"36","New York","NY","2012","pctunins","0.1287"
"37","North Carolina","NC","2012","pctunins","0.185"
"38","North Dakota","ND","2012","pctunins","0.1138"
"39","Ohio","OH","2012","pctunins","0.1339"
"40","Oklahoma","OK","2012","pctunins","0.214"
"41","Oregon","OR","2012","pctunins","0.1845"
"42","Pennsylvania","PA","2012","pctunins","0.1131"
"44","Rhode Island","RI","2012","pctunins","0.1283"
"45","South Carolina","SC","2012","pctunins","0.195"
"46","South Dakota","SD","2012","pctunins","0.1369"
"47","Tennessee","TN","2012","pctunins","0.1595"
"48","Texas","TX","2012","pctunins","0.2548"
"49","Utah","UT","2012","pctunins","0.1619"
"50","Vermont","VT","2012","pctunins","0.088"
"51","Virginia","VA","2012","pctunins","0.1387"
"53","Washington","WA","2012","pctunins","0.153"
"54","West Virginia","WV","2012","pctunins","0.1704"
"55","Wisconsin","WI","2012","pctunins","0.1032"
"56","Wyoming","WY","2012","pctunins","0.1693"
"72","Puerto Rico","PR","2012","pctunins","0.0906"
"00","United States","US","2015","pctunins","0.1493"
"00","United States","US","2014","pctunins","0.1627"
"00","United States","US","2012","pctunins","0.1694"
"01","Alabama","AL","2013","pctunins","0.1609"
"02","Alaska","AK","2013","pctunins","0.2126"
"04","Arizona","AZ","2013","pctunins","0.195"
"05","Arkansas","AR","2013","pctunins","0.1949"
"06","California","CA","2013","pctunins","0.1991"
"08","Colorado","CO","2013","pctunins","0.1671"
"09","Connecticut","CT","2013","pctunins","0.1023"
"10","Delaware","DE","2013","pctunins","0.1096"
"11","District of Columbia","DC","2013","pctunins","0.0741"
"12","Florida","FL","2013","pctunins","0.2452"
"13","Georgia","GA","2013","pctunins","0.2117"
"15","Hawaii","HI","2013","pctunins","0.0811"
"16","Idaho","ID","2013","pctunins","0.1914"
"17","Illinois","IL","2013","pctunins","0.147"
"18","Indiana","IN","2013","pctunins","0.1629"
"19","Iowa","IA","2013","pctunins","0.1001"
"20","Kansas","KS","2013","pctunins","0.1459"
"21","Kentucky","KY","2013","pctunins","0.1657"
"22","Louisiana","LA","2013","pctunins","0.1944"
"23","Maine","ME","2013","pctunins","0.1233"
"24","Maryland","MD","2013","pctunins","0.1182"
"25","Massachusetts","MA","2013","pctunins","0.0462"
"26","Michigan","MI","2013","pctunins","0.1339"
"27","Minnesota","MN","2013","pctunins","0.0977"
"28","Mississippi","MS","2013","pctunins","0.2001"
"29","Missouri","MO","2013","pctunins","0.1526"
"30","Montana","MT","2013","pctunins","0.2039"
"31","Nebraska","NE","2013","pctunins","0.1313"
"32","Nevada","NV","2013","pctunins","0.2451"
"33","New Hampshire","NH","2013","pctunins","0.1212"
"34","New Jersey","NJ","2013","pctunins","0.1459"
"35","New Mexico","NM","2013","pctunins","0.2202"
"36","New York","NY","2013","pctunins","0.1272"
"37","North Carolina","NC","2013","pctunins","0.1857"
"38","North Dakota","ND","2013","pctunins","0.1142"
"39","Ohio","OH","2013","pctunins","0.134"
"40","Oklahoma","OK","2013","pctunins","0.2114"
"41","Oregon","OR","2013","pctunins","0.1832"
"42","Pennsylvania","PA","2013","pctunins","0.115"
"44","Rhode Island","RI","2013","pctunins","0.1311"
"45","South Carolina","SC","2013","pctunins","0.193"
"46","South Dakota","SD","2013","pctunins","0.1367"
"47","Tennessee","TN","2013","pctunins","0.1624"
"48","Texas","TX","2013","pctunins","0.253"
"49","Utah","UT","2013","pctunins","0.16"
"50","Vermont","VT","2013","pctunins","0.086"
"51","Virginia","VA","2013","pctunins","0.14"
"53","Washington","WA","2013","pctunins","0.1566"
"54","West Virginia","WV","2013","pctunins","0.1706"
"55","Wisconsin","WI","2013","pctunins","0.1049"
"56","Wyoming","WY","2013","pctunins","0.1698"
"72","Puerto Rico","PR","2013","pctunins","0.0879"
"72","Puerto Rico","PR","2017","pctunins","0.0746"
"01","Alabama","AL","2017","pctunins","0.1263"
"02","Alaska","AK","2017","pctunins","0.1706"
"04","Arizona","AZ","2017","pctunins","0.1435"
"05","Arkansas","AR","2017","pctunins","0.1255"
"06","California","CA","2017","pctunins","0.1189"
"08","Colorado","CO","2017","pctunins","0.1071"
"09","Connecticut","CT","2017","pctunins","0.0746"
"11","District of Columbia","DC","2017","pctunins","0.0524"
"10","Delaware","DE","2017","pctunins","0.0785"
"12","Florida","FL","2017","pctunins","0.1819"
"13","Georgia","GA","2017","pctunins","0.1681"
"15","Hawaii","HI","2017","pctunins","0.0542"
"16","Idaho","ID","2017","pctunins","0.1403"
"17","Illinois","IL","2017","pctunins","0.0975"
"18","Indiana","IN","2017","pctunins","0.1194"
"19","Iowa","IA","2017","pctunins","0.0659"
"20","Kansas","KS","2017","pctunins","0.1119"
"21","Kentucky","KY","2017","pctunins","0.0919"
"23","Maine","ME","2017","pctunins","0.1103"
"22","Louisiana","LA","2017","pctunins","0.1435"
"25","Massachusetts","MA","2017","pctunins","0.0345"
"24","Maryland","MD","2017","pctunins","0.0836"
"26","Michigan","MI","2017","pctunins","0.0842"
"27","Minnesota","MN","2017","pctunins","0.0626"
"28","Mississippi","MS","2017","pctunins","0.1589"
"29","Missouri","MO","2017","pctunins","0.1224"
"30","Montana","MT","2017","pctunins","0.1398"
"31","Nebraska","NE","2017","pctunins","0.1047"
"33","New Hampshire","NH","2017","pctunins","0.0883"
"32","Nevada","NV","2017","pctunins","0.1603"
"34","New Jersey","NJ","2017","pctunins","0.1113"
"35","New Mexico","NM","2017","pctunins","0.1461"
"36","New York","NY","2017","pctunins","0.0875"
"37","North Carolina","NC","2017","pctunins","0.1408"
"38","North Dakota","ND","2017","pctunins","0.093"
"39","Ohio","OH","2017","pctunins","0.0868"
"40","Oklahoma","OK","2017","pctunins","0.1728"
"41","Oregon","OR","2017","pctunins","0.1045"
"42","Pennsylvania","PA","2017","pctunins","0.0843"
"44","Rhode Island","RI","2017","pctunins","0.0788"
"45","South Carolina","SC","2017","pctunins","0.1431"
"46","South Dakota","SD","2017","pctunins","0.114"
"47","Tennessee","TN","2017","pctunins","0.1274"
"48","Texas","TX","2017","pctunins","0.204"
"49","Utah","UT","2017","pctunins","0.1198"
"50","Vermont","VT","2017","pctunins","0.0572"
"51","Virginia","VA","2017","pctunins","0.1143"
"54","West Virginia","WV","2017","pctunins","0.0968"
"53","Washington","WA","2017","pctunins","0.0954"
"56","Wyoming","WY","2017","pctunins","0.1377"
"55","Wisconsin","WI","2017","pctunins","0.076"
"01","Alabama","AL","2015","pctunins","0.1477"
"02","Alaska","AK","2015","pctunins","0.1985"
"04","Arizona","AZ","2015","pctunins","0.1758"
"05","Arkansas","AR","2015","pctunins","0.166"
"06","California","CA","2015","pctunins","0.1656"
"08","Colorado","CO","2015","pctunins","0.1392"
"09","Connecticut","CT","2015","pctunins","0.0912"
"10","Delaware","DE","2015","pctunins","0.0961"
"11","District of Columbia","DC","2015","pctunins","0.0645"
"12","Florida","FL","2015","pctunins","0.2173"
"13","Georgia","GA","2015","pctunins","0.1927"
"15","Hawaii","HI","2015","pctunins","0.0688"
"16","Idaho","ID","2015","pctunins","0.1697"
"17","Illinois","IL","2015","pctunins","0.1252"
"18","Indiana","IN","2015","pctunins","0.1474"
"19","Iowa","IA","2015","pctunins","0.0853"
"20","Kansas","KS","2015","pctunins","0.1291"
"21","Kentucky","KY","2015","pctunins","0.1319"
"22","Louisiana","LA","2015","pctunins","0.177"
"23","Maine","ME","2015","pctunins","0.121"
"24","Maryland","MD","2015","pctunins","0.1012"
"25","Massachusetts","MA","2015","pctunins","0.0409"
"26","Michigan","MI","2015","pctunins","0.1124"
"27","Minnesota","MN","2015","pctunins","0.0807"
"28","Mississippi","MS","2015","pctunins","0.1828"
"29","Missouri","MO","2015","pctunins","0.1427"
"30","Montana","MT","2015","pctunins","0.184"
"31","Nebraska","NE","2015","pctunins","0.1183"
"32","Nevada","NV","2015","pctunins","0.2085"
"33","New Hampshire","NH","2015","pctunins","0.1089"
"34","New Jersey","NJ","2015","pctunins","0.1329"
"35","New Mexico","NM","2015","pctunins","0.1897"
"36","New York","NY","2015","pctunins","0.1107"
"37","North Carolina","NC","2015","pctunins","0.1668"
"38","North Dakota","ND","2015","pctunins","0.1048"
"39","Ohio","OH","2015","pctunins","0.1131"
"40","Oklahoma","OK","2015","pctunins","0.1927"
"41","Oregon","OR","2015","pctunins","0.1446"
"42","Pennsylvania","PA","2015","pctunins","0.1037"
"44","Rhode Island","RI","2015","pctunins","0.1079"
"45","South Carolina","SC","2015","pctunins","0.1704"
"46","South Dakota","SD","2015","pctunins","0.1282"
"47","Tennessee","TN","2015","pctunins","0.1488"
"48","Texas","TX","2015","pctunins","0.229"
"49","Utah","UT","2015","pctunins","0.1455"
"50","Vermont","VT","2015","pctunins","0.069"
"51","Virginia","VA","2015","pctunins","0.1299"
"53","Washington","WA","2015","pctunins","0.1311"
"54","West Virginia","WV","2015","pctunins","0.1377"
"55","Wisconsin","WI","2015","pctunins","0.0919"
"56","Wyoming","WY","2015","pctunins","0.1536"
"72","Puerto Rico","PR","2015","pctunins","0.0782"
"01","Alabama","AL","2016","pctunins","0.1361"
"02","Alaska","AK","2016","pctunins","0.1856"
"04","Arizona","AZ","2016","pctunins","0.1603"
"05","Arkansas","AR","2016","pctunins","0.145"
"06","California","CA","2016","pctunins","0.1423"
"08","Colorado","CO","2016","pctunins","0.1232"
"09","Connecticut","CT","2016","pctunins","0.0827"
"10","Delaware","DE","2016","pctunins","0.0873"
"11","District of Columbia","DC","2016","pctunins","0.0572"
"12","Florida","FL","2016","pctunins","0.1987"
"13","Georgia","GA","2016","pctunins","0.1787"
"15","Hawaii","HI","2016","pctunins","0.0606"
"16","Idaho","ID","2016","pctunins","0.1565"
"17","Illinois","IL","2016","pctunins","0.111"
"18","Indiana","IN","2016","pctunins","0.1331"
"19","Iowa","IA","2016","pctunins","0.0746"
"20","Kansas","KS","2016","pctunins","0.1211"
"21","Kentucky","KY","2016","pctunins","0.1119"
"22","Louisiana","LA","2016","pctunins","0.1622"
"23","Maine","ME","2016","pctunins","0.1151"
"24","Maryland","MD","2016","pctunins","0.092"
"25","Massachusetts","MA","2016","pctunins","0.037"
"26","Michigan","MI","2016","pctunins","0.0985"
"27","Minnesota","MN","2016","pctunins","0.0702"
"28","Mississippi","MS","2016","pctunins","0.1699"
"29","Missouri","MO","2016","pctunins","0.1325"
"30","Montana","MT","2016","pctunins","0.1635"
"31","Nebraska","NE","2016","pctunins","0.1118"
"32","Nevada","NV","2016","pctunins","0.185"
"33","New Hampshire","NH","2016","pctunins","0.0993"
"34","New Jersey","NJ","2016","pctunins","0.1222"
"35","New Mexico","NM","2016","pctunins","0.1671"
"36","New York","NY","2016","pctunins","0.0986"
"37","North Carolina","NC","2016","pctunins","0.154"
"38","North Dakota","ND","2016","pctunins","0.0993"
"39","Ohio","OH","2016","pctunins","0.0993"
"40","Oklahoma","OK","2016","pctunins","0.1817"
"41","Oregon","OR","2016","pctunins","0.1229"
"42","Pennsylvania","PA","2016","pctunins","0.0941"
"44","Rhode Island","RI","2016","pctunins","0.0939"
"45","South Carolina","SC","2016","pctunins","0.1563"
"46","South Dakota","SD","2016","pctunins","0.1205"
"47","Tennessee","TN","2016","pctunins","0.1372"
"48","Texas","TX","2016","pctunins","0.2155"
"49","Utah","UT","2016","pctunins","0.1322"
"50","Vermont","VT","2016","pctunins","0.0631"
"51","Virginia","VA","2016","pctunins","0.1223"
"53","Washington","WA","2016","pctunins","0.113"
"54","West Virginia","WV","2016","pctunins","0.1163"
"55","Wisconsin","WI","2016","pctunins","0.084"
"56","Wyoming","WY","2016","pctunins","0.1474"
"72","Puerto Rico","PR","2016","pctunins","0.0751"
"00","United States","US","2013","pctunins","0.1699"
"00","United States","US","2016","pctunins","0.1351"
"00","United States","US","2017","pctunins","0.1216"
"01","Alabama","AL","2014","pctunins","0.1572"
"02","Alaska","AK","2014","pctunins","0.2071"
"04","Arizona","AZ","2014","pctunins","0.1894"
"05","Arkansas","AR","2014","pctunins","0.1842"
"06","California","CA","2014","pctunins","0.1874"
"08","Colorado","CO","2014","pctunins","0.1567"
"09","Connecticut","CT","2014","pctunins","0.0982"
"10","Delaware","DE","2014","pctunins","0.105"
"11","District of Columbia","DC","2014","pctunins","0.0712"
"12","Florida","FL","2014","pctunins","0.2359"
"13","Georgia","GA","2014","pctunins","0.2051"
"15","Hawaii","HI","2014","pctunins","0.0773"
"16","Idaho","ID","2014","pctunins","0.1841"
"17","Illinois","IL","2014","pctunins","0.1396"
"18","Indiana","IN","2014","pctunins","0.1583"
"19","Iowa","IA","2014","pctunins","0.0949"
"20","Kansas","KS","2014","pctunins","0.1396"
"21","Kentucky","KY","2014","pctunins","0.1523"
"22","Louisiana","LA","2014","pctunins","0.1894"
"23","Maine","ME","2014","pctunins","0.1246"
"24","Maryland","MD","2014","pctunins","0.1111"
"25","Massachusetts","MA","2014","pctunins","0.0441"
"26","Michigan","MI","2014","pctunins","0.1266"
"27","Minnesota","MN","2014","pctunins","0.0904"
"28","Mississippi","MS","2014","pctunins","0.1933"
"29","Missouri","MO","2014","pctunins","0.1496"
"30","Montana","MT","2014","pctunins","0.1965"
"31","Nebraska","NE","2014","pctunins","0.1268"
"32","Nevada","NV","2014","pctunins","0.2308"
"33","New Hampshire","NH","2014","pctunins","0.1192"
"34","New Jersey","NJ","2014","pctunins","0.1428"
"35","New Mexico","NM","2014","pctunins","0.208"
"36","New York","NY","2014","pctunins","0.1214"
"37","North Carolina","NC","2014","pctunins","0.1785"
"38","North Dakota","ND","2014","pctunins","0.1095"
"39","Ohio","OH","2014","pctunins","0.126"
"40","Oklahoma","OK","2014","pctunins","0.2043"
"41","Oregon","OR","2014","pctunins","0.1682"
"42","Pennsylvania","PA","2014","pctunins","0.1119"
"44","Rhode Island","RI","2014","pctunins","0.1221"
"45","South Carolina","SC","2014","pctunins","0.1857"
"46","South Dakota","SD","2014","pctunins","0.1312"
"47","Tennessee","TN","2014","pctunins","0.1576"
"48","Texas","TX","2014","pctunins","0.2431"
"49","Utah","UT","2014","pctunins","0.1566"
"50","Vermont","VT","2014","pctunins","0.0783"
"51","Virginia","VA","2014","pctunins","0.1381"
"53","Washington","WA","2014","pctunins","0.1476"
"54","West Virginia","WV","2014","pctunins","0.1575"
"55","Wisconsin","WI","2014","pctunins","0.1003"
"56","Wyoming","WY","2014","pctunins","0.1625"
"72","Puerto Rico","PR","2014","pctunins","0.0839"
